data1,data2
0x00,0x001CD7
0x01,0x001493
0x01,0x000B2C
0x02,0x000261
0x02,0xFFF984
0x03,0xFFF0E9
0x03,0xFFE881
0x03,0xFFDFFE
0x03,0xFFD7FC
0x03,0xFFCFDC
0x03,0xFFC7CE
0x03,0xFFC022
0x02,0xFFB8DF
0x02,0xFFB1EA
0x01,0xFFAAFD
0x01,0xFFA4A5
0x00,0xFF9E81
0xFF,0xFF98E7
0xFF,0xFF9388
0xFF,0xFF8E24
0xFE,0xFF89EA
0xFE,0xFF861C
0xFE,0xFF81E8
0xFE,0xFF7F47
0xFF,0xFF7BBA
0xFF,0xFF7A72
0x00,0xFF7818
0x00,0xFF777F
0x01,0xFF761A
0x01,0xFF7686
0x02,0xFF76DD
0x03,0xFF777D
0x03,0xFF7820
0x04,0xFF7AB3
0x04,0xFF7CD7
0x05,0xFF7F86
0x05,0xFF8301
0x05,0xFF86C7
0x05,0xFF8AEF
0x04,0xFF8F88
0x04,0xFF94E5
0x04,0xFF9A89
0x03,0xFFA028
0x02,0xFFA6E5
0x02,0xFFAD07
0x01,0xFFB459
0x00,0xFFBB2D
0xFF,0xFFC2E5
0xFE,0xFFCA83
0xFD,0xFFD295
0xFD,0xFFDA4D
0xFC,0xFFE2C5
0xFC,0xFFEA6D
0xFB,0xFFF362
0xFB,0xFFFB92
0xFB,0x000374
0xFA,0x000B6A
0xFB,0x001423
0xFB,0x001BD2
0xFB,0x0023E1
0xFB,0x002BF1
0xFC,0x0032F2
0xFC,0x003AF2
0xFD,0x004203
0xFE,0x004918
0xFE,0x004F6E
0xFF,0x0055AA
0xFF,0x005B66
0x00,0x0060E6
0x00,0x0065A5
0x00,0x006A69
0x00,0x006D97
0x00,0x007138
0x00,0x00734E
0x00,0x007584
0x00,0x007677
0x00,0x0077AD
0x00,0x00774E
0xFF,0x00771A
0xFF,0x007615
0xFF,0x00746D
0xFF,0x007255
0xFF,0x006FC5
0xFF,0x006CAE
0xFF,0x0069CD
0xFF,0x0065A7
0x00,0x006221
0x00,0x005E41
0x00,0x0059FD
0x01,0x00567D
0x01,0x0051DF
0x02,0x004E21
0x02,0x0049BF
0x02,0x004679
0x03,0x004253
0x03,0x003EF4
0x03,0x003B90
0x03,0x003899
0x02,0x003512
0x02,0x0032C1
0x01,0x002F98
0x01,0x002DB2
0x00,0x002AF4
0xFF,0x002964
0xFF,0x002746
0xFE,0x002598
0xFD,0x0023E9
0xFC,0x002275
0xFC,0x00213E
0xFB,0x002011
0xFA,0x001EFC
0xFA,0x001E77
0xFA,0x001DAA
0xFA,0x001DA8
0xFA,0x001CB9
0xFA,0x001C87
0xFB,0x001C77
0xFB,0x001BE5
0xFC,0x001C7F
0xFD,0x001B5C
0xFD,0x001BCC
0xFE,0x001B2C
0xFF,0x001B2C
0xFF,0x001A99
0x00,0x001A89
0x00,0x001A7D
0x00,0x001976
0x00,0x001902
0x00,0x00195A
0x00,0x0018A9
0x00,0x0018AF
0x00,0x001845
0x00,0x001851
0xFF,0x001865
0xFF,0x0018FE
0xFF,0x001908
0xFF,0x0019DA
0xFF,0x001A53
0xFF,0x001BF9
0xFF,0x001CD5
0xFF,0x001EDB
0xFF,0x00203F
0xFF,0x00221D
0xFF,0x00241F
0xFF,0x002647
0xFF,0x002823
0xFF,0x002AEA
0xFF,0x002D4E
