data1,data2
0x06,0xFD73B2
0x06,0xFD768A
0x06,0xFD7919
0x06,0xFD7B55
0x06,0xFD7CF3
0x06,0xFD7E84
0x06,0xFD7FB0
0x05,0xFD80C3
0x05,0xFD8216
0x04,0xFD842C
0x04,0xFD86C3
0x03,0xFD89D6
0x02,0xFD8E36
0x02,0xFD9410
0x01,0xFD9B5F
0x00,0xFDA444
0xFF,0xFDAED3
0xFE,0xFDBAEF
0xFD,0xFDC845
0xFC,0xFDD760
0xFB,0xFDE823
0xFB,0xFDF98E
0xFA,0xFE0C23
0xFA,0xFE1F38
0xF9,0xFE32BB
0xF9,0xFE461D
0xF9,0xFE59A8
0xF8,0xFE6C65
0xF8,0xFE7EDE
0xF9,0xFE90E6
0xF9,0xFEA1FD
0xF9,0xFEB2A4
0xFA,0xFEC326
0xFA,0xFED373
0xFB,0xFEE397
0xFB,0xFEF466
0xFC,0xFF0519
0xFD,0xFF1725
0xFD,0xFF2A58
0xFE,0xFF3E4C
0xFF,0xFF5408
0xFF,0xFF6B49
0x00,0xFF83EA
0x01,0xFF9E0C
0x01,0xFFB988
0x02,0xFFD5F8
0x03,0xFFF336
0x03,0x001106
0x04,0x002E53
0x04,0x004B50
0x04,0x00679B
0x05,0x0082D4
0x05,0x009C5D
0x05,0x00B3E7
0x05,0x00C92E
0x04,0x00DBFB
0x04,0x00EC8E
0x04,0x00FAF6
0x03,0x01064A
0x02,0x010F8D
0x02,0x011662
0x01,0x011BBB
0x00,0x011F2B
0x00,0x012103
0xFF,0x0121A9
0xFF,0x01212F
0xFE,0x012026
0xFE,0x011E60
0xFE,0x011BE4
0xFD,0x011945
0xFD,0x01166E
0xFE,0x011292
0xFE,0x010ECA
0xFE,0x010ADE
0xFF,0x01062E
0xFF,0x01008E
0x00,0x00FA5C
0x00,0x00F2EE
0x01,0x00EB0E
0x01,0x00E1FD
0x02,0x00D7DF
0x02,0x00CC70
0x02,0x00C01B
0x03,0x00B2D8
0x03,0x00A490
0x03,0x0095D1
0x03,0x00861B
0x03,0x0075C9
0x02,0x006516
0x02,0x005475
0x02,0x0043A8
0x01,0x00328D
0x01,0x002245
0x00,0x0011E2
0x00,0x000211
0xFF,0xFFF271
0xFF,0xFFE362
0xFF,0xFFD4D5
0xFE,0xFFC703
0xFE,0xFFB966
0xFE,0xFFAC55
0xFD,0xFF9FD4
0xFD,0xFF93BE
0xFD,0xFF8901
0xFD,0xFF7E42
0xFD,0xFF744A
0xFD,0xFF6B39
0xFE,0xFF6349
0xFE,0xFF5D01
0xFE,0xFF5703
0xFE,0xFF533B
